0 1 wait
1 1 wait
2 2 A
3 2 A
4 3 D
5 4 Q
6 4 Q
7 5 B
8 5 B
9 6 E
10 6 E
11 7 H
12 7 H
13 8 C
14 8 C
15 9 F
16 10 G
17 10 G
18 11 J
19 11 J
20 12 T
21 13 P
22 13 P
23 14 K
24 14 K
25 15 L
26 16 O
27 16 O
28 17 I
29 17 I
30 18 M
31 2 A
32 5 B
33 5 B
34 6 E
35 6 E
36 10 G
37 11 J
38 11 J
39 13 P
40 13 P
41 16 O
42 17 I
43 17 I
44 19 N
45 19 N
46 5 B
47 5 B
48 6 E
49 20 R
50 20 R
51 13 P
52 13 P
53 17 I
54 19 N
55 19 N
56 5 B
57 5 B
58 20 R
59 1 wait
60 1 wait
61 21 S
62 21 S
